Rule Name,Enabled,Building Block,Type,ID,Override ID,Owner,Tests,Notes,RESP: Forwarding Destinations,RESP: Add to Reference Set,RESP: Add to Reference Set Property,RESP: Dispatch New Event Name,RESP: Dispatch New Event Create Offense,RESP: Dispatch New Event Offense Naming,RESP: Dispatch New Event Offense Index,RESP: Email,RESP: Email Event Template,RESP: Email Flow Template,RESP: Send to Local Syslog,RESP: Message Notification,ACT: Drop Detected Event,ACT: Create Offense,ACT: Create Offense Index,ACT: Alter Sev-Cred-Rel,UsingBB,LogSource,NotLogSource,EventCategory,NotEventCategory,EventIDDetails,EventQIDDetails,NotEventQIDDetails,IPProtocol,NotIPProtocol,EventMatches,NotEventMatches,FlowType,NotFlowType,FlowDuration,NotFlowDuration,FlowContext,NotFlowContext,EventPayload,ErrorCode,NotErrorCode,Application,NotApplication,EventSeverity,NotEventSeverity,EventCredibility,NotEventCredibility,EventRelevance,NotEventRelevance,ObjectName,NotObjectName,EventType,NotEventType,EventContext,NotEventContext,EventAdditionalCondition,NotEventAdditionalCondition,SourceBytePacketRatio,NotSourceBytePacketRatio,DestinationBytePacketRatio,NotDestinationBytePacketRatio,DestinationBytes,NotDestinationBytes,SourceBytes,NotSourceBytes,SourceOrDestinationIP,NotSourceOrDestinationIP,SourceIP,NotSourceIP,LocalNetwork,NotLocalNetwork,DestinationIP,NotDestinationIP,SourceOrDestinationPort,NotSourceOrDestinationPort,SourcePort,NotSourcePort,DestinationPort,NotDestinationPort,DestinationPackets,NotDestinationPackets,SourcePackets,NotSourcePackets,Source,NotSource,SourceTCPFlag,NotSourceTCPFlag,Destination,NotDestination,NumberOfLocalhost,NotNumberOfLocalhost,IdentityMAC,NotIdentityMAC,Username,NotUsername,AttackContext,NotAttackContext,FlowBias,NotFlowBias,EventAtLeastSeen,NotEventAtLeastSeen,ICMPType,NotICMPType,Context,NotContext,FlowOrEvent,NotFlowOrEvent,FlowOrEventOccurAfter,NotFlowOrEventOccurAfter,FlowOrEventOccurBefore,NotFlowOrEventOccurBefore,EventIdentityTrue,NotEventIdentityTrue,SourceDestinationPacketRatio,NotSourceDestinationPacketRatio,UsingBB_Tests,Check Usage,Used by Building Blocks,Used by Use Cases,Rule Name Contains UBA,Used BB or Use Cases Contains UBA,Not Used Tests,EventID
BB: Hanzo: ApacheLogSourceType,TRUE,TRUE,EVENT,111656,111656,admin,and when the event(s) were detected by one or more of Apache HTTP Server,,,,,,,,,,,,,,,,,,,Apache HTTP Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,and when the event(s) were detected by one or more of Apache HTTP Server,
BB: Hanzo: WinSkip,TRUE,TRUE,FLOW,-1,,admin,and when the IP protocol is one of the following Uncommon.skip,,,,,,,,,,,,,,,,,,,,,,,,,,Uncommon.skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,and when the IP protocol is one of the following Uncommon.skip,
BB: Hanzo: Windows 2003 Logon Failure - Account Locked out,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 539 (Account locked out) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 539 (Account locked out) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - User Account Locked out,,,,539
BB: Hanzo: Windows 2003 Logon Failure - Account currently disabled,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 531 (Account currently disabled) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 531 (Account currently disabled) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 531 (Account currently disabled) - AlphaNumeric",531
BB: Hanzo: Windows 2003 Logon Failure - Account has expired,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 532 (User account has expired) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 532 (User account has expired) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 532 (User account has expired) - AlphaNumeric",532
BB: Hanzo: Windows 2003 Logon Failure - Logon attempt failed for other reasons,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 537 (Logon attempt failed for other reasons) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 537 (Logon attempt failed for other reasons) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 537 (Logon attempt failed for other reasons) - AlphaNumeric",537
BB: Hanzo: Windows 2003 Logon Failure - Logon time restriction violation,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 530 (Account logon time restriction violation) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 530 (Account logon time restriction violation) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 530 (Account logon time restriction violation) - AlphaNumeric",530
BB: Hanzo: Windows 2003 Logon Failure - NetLogon component is not active,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 536 (NetLogon component is not active) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 536 (NetLogon component is not active) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 536 (NetLogon component is not active) - AlphaNumeric",536
BB: Hanzo: Windows 2003 Logon Failure - The specified account's password has expired,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 535 (Account password has expired) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 535 (Account password has expired) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - The specified account's password has expired,,,,535
BB: Hanzo: Windows 2003 Logon Failure - The user has not been granted the requested logon type at this machine,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 534 (User not granted requested logon type at this machine) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 534 (User not granted requested logon type at this machine) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 534 (User not granted requested logon type at this machine) - AlphaNumeric",534
BB: Hanzo: Windows 2003 Logon Failure - Unknown Username or bad password,TRUE,TRUE,EVENT,101529,101529,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 529 (Unknown username or bad password) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 529 (Unknown username or bad password) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 529 (Unknown username or bad password) - AlphaNumeric",529
BB: Hanzo: Windows 2003 Logon Failure - User not allowed to logon at this computer,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 533 (User not allowed to logon at this computer) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 533 (User not allowed to logon at this computer) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 533 (User not allowed to logon at this computer) - AlphaNumeric",533
BB: Hanzo: Windows 2008 Logon Failure - Account Locked out,TRUE,TRUE,EVENT,111998,111998,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric, Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom), Sub Status (custom) are contained in any of Hanzo - Error Code (User currently locked out) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,"Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric",,,,,,,,,,,,,,Hanzo - Error Code (User currently locked out) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - User Account Locked out,,,,4776
